frame,body_part,x,y,z,left_contact,right_contact
0,lhand,0.013005098782774054,0.2040437997697405,-0.08682425913599182,0,1
1,lhand,0.013393616260165317,0.20485524925733367,-0.08435119517659749,0,1
2,lhand,0.01684629156958197,0.20564384632723748,-0.08045270750484697,0,1
3,lhand,0.019853118147985994,0.20710560984598708,-0.07653547873373848,0,1
4,lhand,0.02038219137297724,0.20837060322379747,-0.07556637283491466,0,1
5,lhand,0.018759480792444334,0.20990623461614688,-0.07385124617946347,0,1
6,lhand,0.018184690995404817,0.21028066690430564,-0.07310782825426573,0,1
7,lhand,0.01863788940705835,0.2113783239684438,-0.07253853492297477,0,1
8,lhand,0.01878718703108216,0.21110543852816696,-0.07195343795730486,0,1
9,lhand,0.019260635985414838,0.2109034220823946,-0.07202993952704362,0,1
10,lhand,0.01858572737290963,0.21067694413645935,-0.07269059590460111,0,1
11,lhand,0.016121581507776372,0.20853380607654448,-0.07557845502147466,0,1
12,lhand,0.014080744174909739,0.20610667373911373,-0.07849741120063733,0,1
13,lhand,0.012109124453381977,0.20441428920973023,-0.08063379027392681,0,1
14,lhand,0.009632939933090293,0.20148329567641424,-0.08406832248674309,0,1
15,lhand,0.007556455146041634,0.20041830402537594,-0.08561456607203881,0,1
16,lhand,0.005764423389310679,0.20004638105010977,-0.0860957285517148,0,1
17,lhand,0.004246608087395909,0.20080966461002656,-0.08566921513647742,0,1
18,lhand,0.004768347202405113,0.2039744693904983,-0.08186489891025368,0,1
19,lhand,0.005619703861859192,0.20759345504916077,-0.07798346675025217,0,1
20,lhand,0.006993054813084189,0.2116841428785189,-0.07322296875999365,0,1
21,lhand,0.00894210264183274,0.21493433986644186,-0.06861757043059116,0,1
22,lhand,0.010739728190273752,0.21842239371128125,-0.06379292056150482,0,1
23,lhand,0.011864465958786798,0.2202274092604476,-0.060646061939210405,0,1
24,lhand,0.012717337920308401,0.2208193141072899,-0.05896322951928737,0,1
25,lhand,0.0132056483375304,0.22090773942186417,-0.057536901273602684,0,1
26,lhand,0.013547650085769275,0.21985841856560345,-0.058577026784669764,0,1
27,lhand,0.013245204780392504,0.21941515271692202,-0.05986404802972606,0,1
28,lhand,0.011749453640386626,0.21877276322339598,-0.06256307507568087,0,1
29,lhand,0.010908784253519217,0.21880064310492398,-0.0643141181473747,0,1
30,lhand,0.009459235921163815,0.21803201720308935,-0.06649678563261326,0,1
31,lhand,0.00931657457769322,0.21812407257411764,-0.0670748264118826,0,1
32,lhand,0.008494589783763246,0.21988977351018907,-0.06693030724226533,0,1
33,lhand,0.007898790756303745,0.22011033886599707,-0.06833116845961706,0,1
34,lhand,0.007837111825208264,0.22093287072963344,-0.06799609064797234,0,1
